Date,LKOH,ROSN
2023-01-03,4123.5,368.05
2023-01-04,4116.0,365.8
2023-01-05,4087.0,367.5
2023-01-06,4089.0,367.3
2023-01-09,4110.0,367.95
2023-01-10,4079.0,366.75
2023-01-11,4090.5,347.35
2023-01-12,4078.5,346.85
2023-01-13,4074.0,346.05
2023-01-16,4052.0,345.8
2023-01-17,4025.0,341.35
2023-01-18,4021.0,344.15
2023-01-19,3981.0,339.8
2023-01-20,3944.0,336.55
2023-01-23,3972.5,340.05
2023-01-24,3942.5,336.75
2023-01-25,3923.5,338.2
2023-01-26,3911.0,335.0
2023-01-27,3917.0,336.95
2023-01-30,3947.5,337.65
2023-01-31,3955.0,340.75
2023-02-01,3955.5,343.0
2023-02-02,3918.5,342.1
2023-02-03,3907.5,341.85
2023-02-06,3941.0,347.1
2023-02-07,3968.0,355.25
2023-02-08,3930.5,349.85
2023-02-09,3914.0,350.2
2023-02-10,3921.5,351.0
2023-02-13,3928.5,349.4
2023-02-14,3914.5,344.2
2023-02-15,3829.0,339.6
2023-02-16,3830.0,342.55
2023-02-17,3840.0,345.1
2023-02-20,3905.0,347.1
2023-02-21,3914.5,352.65
2023-02-22,3909.5,353.75
2023-02-24,3901.0,352.45
2023-02-27,3903.0,357.75
2023-02-28,3990.0,358.4
2023-03-01,4056.0,361.4
2023-03-02,4004.0,355.05
2023-03-03,4030.5,358.8
2023-03-06,4111.5,365.35
2023-03-07,4125.0,364.3
2023-03-09,4105.0,364.0
2023-03-10,4085.0,365.9
2023-03-13,4066.0,363.5
2023-03-14,4063.0,364.55
2023-03-15,4022.0,357.95
2023-03-16,4084.0,359.2
2023-03-17,4111.5,365.2
2023-03-20,4228.5,377.4
2023-03-21,4216.5,371.8
2023-03-22,4192.5,375.5
2023-03-23,4177.5,374.45
2023-03-24,4206.5,377.25
2023-03-27,4322.0,383.25
2023-03-28,4320.0,381.5
2023-03-29,4342.0,385.45
2023-03-30,4382.5,386.15
2023-03-31,4352.5,380.9
2023-04-03,4473.5,390.9
2023-04-04,4510.5,390.0
2023-04-05,4540.0,389.7
2023-04-06,4585.0,389.8
2023-04-07,4637.0,391.7
2023-04-10,4650.5,393.5
2023-04-11,4620.0,388.35
2023-04-12,4670.0,390.9
2023-04-13,4612.5,390.1
2023-04-14,4618.0,392.4
2023-04-17,4640.0,395.85
2023-04-18,4599.5,397.0
2023-04-19,4539.5,396.1
2023-04-20,4746.0,396.5
2023-04-21,4729.5,398.75
2023-04-24,4710.5,400.4
2023-04-25,4689.0,396.45
2023-04-26,4659.0,395.75
2023-04-27,4700.0,398.25
2023-04-28,4674.5,393.8
2023-05-02,4581.0,390.0
2023-05-03,4508.5,378.0
2023-05-04,4547.5,379.95
2023-05-05,4509.0,378.65
2023-05-08,4564.5,381.1
2023-05-10,4716.0,392.1
2023-05-11,4788.5,391.65
2023-05-12,4819.0,398.95
2023-05-15,5045.5,407.85
2023-05-16,5086.0,410.75
2023-05-17,5097.0,414.8
2023-05-18,5075.0,414.1
2023-05-19,5078.5,413.65
2023-05-22,5090.0,424.5
2023-05-23,5173.0,424.8
2023-05-24,5192.0,436.0
2023-05-25,5203.5,430.15
2023-05-26,5296.5,432.9
2023-05-29,5538.5,440.45
2023-05-30,5530.0,434.5
2023-05-31,5569.0,450.1
2023-06-01,5684.0,451.5
2023-06-02,5383.0,458.95
2023-06-05,5166.5,458.6
2023-06-06,5149.5,462.1
2023-06-07,5101.0,459.85
2023-06-08,5065.0,458.15
2023-06-09,5077.0,463.5
2023-06-13,5264.0,479.85
2023-06-14,5246.0,478.4
2023-06-15,5302.5,481.75
2023-06-16,5260.5,480.4
2023-06-19,5194.0,485.85
2023-06-20,5150.5,483.4
2023-06-21,5125.0,481.35
2023-06-22,5137.0,475.45
2023-06-23,5030.0,467.55
2023-06-26,5048.5,474.4
2023-06-27,5138.0,475.85
2023-06-28,5108.0,477.05
2023-06-29,5124.0,482.1
2023-06-30,5079.0,482.35
2023-07-03,5095.5,478.05
2023-07-04,5209.0,473.4
2023-07-05,5298.5,473.9
2023-07-06,5347.0,476.75
2023-07-07,5439.5,482.4
2023-07-10,5436.0,477.45
2023-07-11,5439.0,478.8
2023-07-12,5500.0,487.05
2023-07-13,5498.0,488.4
2023-07-14,5514.0,487.65
2023-07-17,5503.0,489.3
2023-07-18,5537.5,490.15
2023-07-19,5518.0,485.95
2023-07-20,5394.0,475.1
2023-07-21,5505.0,483.2
2023-07-24,5545.5,481.6
2023-07-25,5633.5,489.15
2023-07-26,5626.0,486.9
2023-07-27,5668.0,493.75
2023-07-28,5896.0,500.65
2023-07-31,5938.0,508.75
2023-08-01,6008.0,516.7
2023-08-02,6069.5,522.95
2023-08-03,6155.0,526.7
2023-08-04,6103.0,521.95
2023-08-07,6048.5,524.6
2023-08-08,6124.5,527.9
2023-08-09,6171.5,533.2
2023-08-10,6252.0,535.2
2023-08-11,6284.5,549.0
2023-08-14,6127.5,539.75
2023-08-15,6131.5,546.3
2023-08-16,6094.5,532.95
2023-08-17,6162.0,544.45
2023-08-18,6277.5,548.2
2023-08-21,6265.5,547.45
2023-08-22,6606.5,549.5
2023-08-23,6412.5,534.5
2023-08-24,6561.5,539.8
2023-08-25,6566.0,538.85
2023-08-28,6662.0,545.55
2023-08-29,6779.5,558.3
2023-08-30,6837.0,556.9
2023-08-31,6830.0,556.15
2023-09-01,6819.0,559.15
2023-09-04,6850.0,567.25
2023-09-05,6916.0,574.4
2023-09-06,6867.5,578.8
2023-09-07,6666.5,564.6
2023-09-08,6625.0,557.95
2023-09-11,6456.0,549.1
2023-09-12,6729.0,562.0
2023-09-13,6610.0,555.15
2023-09-14,6519.0,556.3
2023-09-15,6553.0,562.8
2023-09-18,6526.0,557.1
2023-09-19,6344.0,544.0
2023-09-20,6423.0,529.35
2023-09-21,6379.0,508.0
2023-09-22,6495.0,513.9
2023-09-25,6449.0,520.65
2023-09-26,6386.0,517.85
2023-09-27,6490.0,529.95
2023-09-28,6645.5,535.7
2023-09-29,6677.0,537.0
2023-10-02,6720.0,535.55
2023-10-03,6754.5,538.9
2023-10-04,6660.5,533.95
2023-10-05,6721.5,534.7
2023-10-06,6797.0,534.2
2023-10-09,6863.5,552.5
2023-10-10,6853.5,549.0
2023-10-11,6890.5,540.35
2023-10-12,7120.0,546.05
2023-10-13,7244.0,561.85
2023-10-16,7335.0,568.65
2023-10-17,7384.5,573.05
2023-10-18,7488.0,586.8
2023-10-19,7486.0,595.25
2023-10-20,7491.5,602.9
2023-10-23,7462.5,593.3
2023-10-24,7444.0,586.2
2023-10-25,7437.5,590.5
2023-10-26,7228.5,583.0
2023-10-27,7318.0,594.6
2023-10-30,7248.0,587.2
2023-10-31,7150.5,574.55
2023-11-01,7240.0,579.5
2023-11-02,7253.5,586.25
2023-11-03,7238.0,581.5
2023-11-06,7376.0,588.95
2023-11-07,7333.5,583.95
2023-11-08,7295.0,581.65
2023-11-09,7260.0,583.1
2023-11-10,7288.5,598.3
2023-11-13,7277.5,598.3
2023-11-14,7200.0,591.3
2023-11-15,7224.0,585.0
2023-11-16,7135.5,572.75
2023-11-17,7225.5,583.3
2023-11-20,7194.5,581.5
2023-11-21,7209.0,583.4
2023-11-22,7299.0,581.75
2023-11-23,7258.0,580.8
2023-11-24,7295.0,578.85
2023-11-27,7222.5,578.0
2023-11-28,7238.0,589.9
2023-11-29,7202.0,593.45
2023-11-30,7239.0,584.3
2023-12-01,7175.5,575.15
2023-12-04,7132.5,565.0
2023-12-05,7248.5,574.35
2023-12-06,7138.0,565.55
2023-12-07,7092.0,560.6
2023-12-08,7140.0,564.7
2023-12-11,6977.0,555.0
2023-12-12,7014.5,549.55
2023-12-13,7043.5,555.85
2023-12-14,6860.0,535.7
2023-12-15,6560.0,561.5
2023-12-18,6723.5,566.65
2023-12-19,6709.0,574.0
2023-12-20,6735.0,578.6
2023-12-21,6702.0,577.1
2023-12-22,6732.5,583.75
2023-12-25,6744.0,584.45
2023-12-26,6771.0,589.3
2023-12-27,6768.0,594.55
2023-12-28,6767.0,591.9
2023-12-29,6739.0,593.2
2024-01-03,6803.5,604.0
2024-01-04,6771.0,601.15
2024-01-05,6780.0,604.05
2024-01-08,6766.5,602.3
2024-01-09,6931.0,600.55
2024-01-10,6957.0,601.0
2024-01-11,6972.5,579.6
2024-01-12,6965.0,584.2
2024-01-15,6889.5,581.4
2024-01-16,6857.0,578.4
2024-01-17,6910.0,574.75
2024-01-18,6857.5,573.95
2024-01-19,6834.5,574.95
2024-01-22,6840.0,577.95
2024-01-23,6799.5,579.9
2024-01-24,6795.0,575.75
2024-01-25,6809.0,574.65
2024-01-26,6901.0,573.9
2024-01-29,6943.0,575.75
2024-01-30,6994.0,573.95
2024-01-31,7090.5,575.0
2024-02-01,7093.5,576.5
2024-02-02,7114.0,583.95
2024-02-05,7137.5,592.0
2024-02-06,7163.0,593.55
2024-02-07,7265.0,589.7
2024-02-08,7231.5,587.75
2024-02-09,7238.5,589.75
2024-02-12,7280.0,588.95
2024-02-13,7269.0,592.75
2024-02-14,7220.5,590.05
2024-02-15,7282.5,589.15
2024-02-16,7224.5,585.5
2024-02-19,7188.0,586.25
2024-02-20,7081.0,572.1
2024-02-21,6990.5,562.35
2024-02-22,7021.5,562.35
2024-02-26,7164.0,575.55
2024-02-27,7141.5,568.2
2024-02-28,7261.5,568.5
2024-02-29,7378.0,578.0
2024-03-01,7463.5,577.45
2024-03-04,7511.5,582.5
2024-03-05,7499.5,585.55
2024-03-06,7483.0,585.15
2024-03-07,7513.0,589.45
2024-03-11,7554.5,588.35
2024-03-12,7536.5,588.25
2024-03-13,7426.0,581.45
2024-03-14,7370.0,584.0
2024-03-15,7380.0,584.2
2024-03-18,7344.0,583.1
2024-03-19,7333.5,565.35
2024-03-20,7438.5,560.3
2024-03-21,7417.5,562.8
2024-03-22,7303.0,554.2
2024-03-25,7438.0,558.05
2024-03-26,7419.0,556.1
2024-03-27,7493.0,555.4
2024-03-28,7481.0,565.75
2024-03-29,7551.0,565.75
2024-04-01,7665.0,568.85
2024-04-02,7654.0,572.9
2024-04-03,7686.5,576.9
2024-04-04,7727.5,578.05
2024-04-05,7662.5,576.1
2024-04-08,7767.0,574.5
2024-04-09,7786.5,568.4
2024-04-10,7825.0,573.2
2024-04-11,7836.5,575.25
2024-04-12,7839.5,576.15
2024-04-15,7920.5,589.75
2024-04-16,7897.0,589.1
2024-04-17,7886.0,584.35
2024-04-18,7840.0,579.15
2024-04-19,7835.5,585.35
2024-04-22,7827.5,583.15
2024-04-23,7840.0,580.85
2024-04-24,7820.5,576.3
2024-04-25,7827.5,579.8
2024-04-26,7929.5,581.3
2024-04-27,8002.5,581.2
2024-04-29,8152.0,583.15
2024-04-30,8085.5,582.0
2024-05-02,8104.5,582.3
2024-05-03,8075.5,582.3
2024-05-06,8026.5,579.05
2024-05-07,7722.5,579.95
2024-05-08,7714.0,578.5
2024-05-10,7713.5,579.4
2024-05-13,7689.0,589.45
2024-05-14,7672.0,589.8
2024-05-15,7655.5,599.2
2024-05-16,7715.0,592.6
2024-05-17,7854.5,591.95
2024-05-20,7834.5,591.9
2024-05-21,7848.0,594.6
2024-05-22,7820.0,596.85
2024-05-23,7841.5,593.15
2024-05-24,7720.0,585.1
2024-05-27,7541.5,578.25
2024-05-28,7590.0,573.0
2024-05-29,7684.0,575.65
2024-05-30,7567.0,566.4
2024-05-31,7355.5,556.65
2024-06-03,7252.0,562.95
2024-06-04,7426.0,568.95
2024-06-05,7412.5,562.2
2024-06-06,7398.0,566.3
2024-06-07,7489.0,571.65
2024-06-10,7315.0,563.25
2024-06-11,7290.0,562.85
2024-06-13,7178.5,555.5
2024-06-14,7368.0,565.1
2024-06-17,7203.0,566.7
2024-06-18,7036.0,554.45
2024-06-19,6885.0,536.0
2024-06-20,7112.5,555.0
2024-06-21,7084.0,550.05
2024-06-24,7051.5,547.45
2024-06-25,7204.0,558.5
2024-06-26,7275.0,561.2
2024-06-27,7227.0,559.8
2024-06-28,7211.0,565.25
2024-07-01,7326.0,576.9
2024-07-02,7309.5,573.0
2024-07-03,7230.5,573.9
2024-07-04,7109.5,561.35
2024-07-05,7201.0,555.85
2024-07-08,7097.0,560.1
2024-07-09,6941.0,524.6
2024-07-10,6689.0,502.5
2024-07-11,6969.5,526.7
2024-07-12,6908.0,527.4
2024-07-15,6827.0,508.0
2024-07-16,6881.0,516.9
2024-07-17,6814.0,510.45
2024-07-18,6931.5,517.25
2024-07-19,6913.0,524.15
2024-07-22,7008.0,531.85
2024-07-23,6973.0,530.55
2024-07-24,6939.5,532.25
2024-07-25,6902.5,532.45
2024-07-26,6890.0,521.4
2024-07-29,6727.5,503.2
2024-07-30,6805.5,513.95
2024-07-31,6759.5,515.95
2024-08-01,6687.0,506.4
2024-08-02,6591.0,504.8
2024-08-05,6417.5,493.9
2024-08-06,6447.0,496.15
2024-08-07,6505.0,508.45
2024-08-08,6410.5,503.2
2024-08-09,6408.5,505.7
2024-08-12,6448.5,501.7
2024-08-13,6444.5,502.5
2024-08-14,6385.0,495.8
2024-08-15,6347.0,493.75
2024-08-16,6239.5,489.7
2024-08-19,6138.5,483.7
2024-08-20,6147.5,481.5
2024-08-21,6309.5,480.95
2024-08-22,6419.0,475.8
2024-08-23,6428.0,478.75
2024-08-26,6645.0,489.55
2024-08-27,6526.5,477.5
2024-08-28,6389.0,479.05
2024-08-29,6324.0,482.95
2024-08-30,6145.0,475.85
2024-09-02,6115.0,455.05
2024-09-03,6184.0,468.85
2024-09-04,6265.0,477.75
2024-09-05,6272.0,477.15
2024-09-06,6332.0,479.1
2024-09-09,6520.0,493.8
2024-09-10,6435.0,482.35
2024-09-11,6413.5,477.75
2024-09-12,6448.0,488.45
2024-09-13,6624.5,498.0
2024-09-16,6820.5,516.3
2024-09-17,6803.0,517.95
2024-09-18,6745.5,510.25
2024-09-19,6811.0,512.55
2024-09-20,6897.5,528.15
2024-09-23,6982.5,526.1
2024-09-24,6954.5,522.1
2024-09-25,6867.0,512.4
